text,label
[TITLE] 24 tuyến hoạt_động bến_xe miền đông [TOPIC] thoisu [COMMENT] nguoi dân se cân_nhắc đi xe_lửa may bay,0
[TITLE] phân_biệt lỗi sai làn tuân_thủ vạch kẻ đường [TOPIC] otoxemay [COMMENT] tài tham_gia giao_thông báo lỗi sai làn tuân biển_báo vạch kẻ đường,0
[TITLE] biden so_sánh trump bộ_trưởng tuyên_truyền đức_quốc xã [TOPIC] thegioi [COMMENT] dồn phiếu tt trump cám_ơn,0
[TITLE] barnett real hôn sàn bale đi [TOPIC] thethao [COMMENT] real clb vĩ_đại yếu_đuối nhu_nhược mu cầu_thủ dắt mũi vòi lương ký hợp_đồng,0
[TITLE] 10 lợi_ích đi 30 phút [TOPIC] suckhoe [COMMENT] đi tối_thiểu 40 phút,0
[TITLE] lập gia_đình mua bảo_hiểm nhân_thọ [TOPIC] kinhdoanh [COMMENT] lãi bảo_hiểm lãi gửi tiết_kiệm,0
[TITLE] chàng trai vàng ngô quý_đăng làm_toán 4 [TOPIC] giaoduc [COMMENT] nhân_tài hiếm đào_tạo bài_bản mong đừng ngộ_chữ thần đồng siêu_nhân lắm ra_đời cống_hiến chẳng,1
[TITLE] lũ [TOPIC] thoisu [COMMENT] cảnh_báo liều chia buồn,0
[TITLE] rút 3 tỷ gửi ngân_hàng mua đất [TOPIC] kinhdoanh [COMMENT] bất_động_sản mua đất sổ đàng_hoàng lo,0
[TITLE] cá_nóc gai lao cạn bắt cua mua [TOPIC] khoahoc [COMMENT] nhò con_người giỏi tui nín thở lặn sâu_mò trai bắt cá_định bắt tui,0
[TITLE] quảng_nam ngộ_độc pate_minh chay [TOPIC] suckhoe [COMMENT] làm_ăn lành,0
[TITLE] bọ biển khổng_lồ triệu đồng [TOPIC] kinhdoanh [COMMENT] kabuto pokemon thịt,0
[TITLE] lập gia_đình mua bảo_hiểm nhân_thọ [TOPIC] kinhdoanh [COMMENT] mua lợi chậm 1 phút hối_hận 1 đời,0
[TITLE] biển đông áp_thấp_nhiệt_đới [TOPIC] thoisu [COMMENT] group thời_tiết nhận_định bão cat 1 đổ bắc trung_bộ theo_dõi chặt_chẽ,0
[TITLE] biden âm_tính ncov [TOPIC] thegioi [COMMENT] biden ý_thức phòng_bệnh,0
[TITLE] xảy trump nhiễm ncov [TOPIC] thegioi [COMMENT] trump kẻ_thù nguy_hiểm ncov hy_vọng đối_thủ,0
[TITLE] chiến_dịch trump sa_vũng lầy covid 19 [TOPIC] thegioi [COMMENT] vận_động live stream cách_thức trạng_thái bình_thường,0
[TITLE] bale khí chất_real tottenham [TOPIC] thethao [COMMENT] mong đừng khí chất_golfer real spurs mừng,0
[TITLE] ảnh vệ_tinh vụ nổ beirut [TOPIC] khoahoc [COMMENT] hóa chất bom bom làm_ơn đi khu dân_cư dùm bài_học vn,0
[TITLE] căn_hộ tỷ đồng dần biến [TOPIC] kinhdoanh [COMMENT] căn_hộ giá rẻ xuống_cấp thiết_bị công_cộng lẫn lắp_đặt sẵn hư_hỏng sửa_chữa đội quản_lý chung_cư yếu_kém hàng_xóm léo nhéo khu ổ_chuột tiền tiền trọ làm_ăn mua đất ven ven xây mái ok tiền đừng ham rẻ rước bực người_bệnh tổn_hại tinh_thần tổng_kết he he,0
[TITLE] bayern thắng 8 0 bundesliga [TOPIC] thethao [COMMENT] barca schalke 1 chút,0
[TITLE] 350 000 bé hàng chào_đời [TOPIC] suckhoe [COMMENT] phát bao cao_su miễn_phí học_sinh nam lẫn nữ nạo_phá thai coi bóp bao cao_su đương_nhiên bình_thường,0
[TITLE] giới siêu giàu_mỹ phe bầu_cử tổng_thống [TOPIC] thegioi [COMMENT] hy_vọng trump tái đắc_cử quyết_liệt,0
[TITLE] barca cài điều_khoản nửa tỷ usd trói chân fati [TOPIC] thethao [COMMENT] hy_vọng ansu fati lionel messi đừng bojan krkic,0
[TITLE] ca_sĩ đăng_dương bơi chạy [TOPIC] giaitri [COMMENT] chạy bộ_môn lợi_lạc sức_khỏe lười_biếng chạy 4 km 1 lợi_lạc vô_cùng tinh_thần thoải_mái phấn chấn hp kg bụng cơ_bớp săn da_dẻ hồng_hào khỏe khoắn hẳn bệnh thoái_hóa cột_sống nhức_mỏi tay_chân khuyến_khích duy_trì chạy hàng,0
[TITLE] học_sinh điện_thoại lớp [TOPIC] giaoduc [COMMENT] lớp_học_sinh điện_thoại học_sinh kia đòi cha_mẹ mua bạn_bè điện_thoại cùi bắp smart_phôn giá 1 2 triệu gia_đình hộ nghèo vất_vả hai mạng xã_hội phát_triển kiểm_soát hành_vi học_sinh tư_duy học_hành phụ_thuộc điện_thoại học_sinh nghiện mạng game video kiểm_soát tư nhà_trường tiền gắn thiết_bị phát_sóng bảo dưỡng_phí tiền cha_mẹ phụ_huynh đóng an_toàn học_sinh đi học điện_thoại mất_mát tài_sản,0
[TITLE] bé sơ_sinh bỏ_rơi lề_đường bệnh [TOPIC] suckhoe [COMMENT] thiện_nguyện đội_ngũ y_bác_sĩ sống chúc mau,0
[TITLE] hyundai i10 sedan fadil [TOPIC] otoxemay [COMMENT] thánh lỗi fadil sửa_chữa bảo_dưỡng tốn phết chả,0
[TITLE] chó đỡ nhát_cắn rắn đuôi chuông thay chủ [TOPIC] khoahoc [COMMENT] yêu cún cưng tận_tâm hết_lòng chủ kết có_hậu chúc_mừng,0
[TITLE] mỹ_nhân_việt 50 [TOPIC] giaitri [COMMENT] muôn_phần đẹp ảnh đẹp tự_nhiên can_thiệp chị_em đường đơ_đớ na_ná y_hệt phát ngán,0
[TITLE] bố bạo_hành gái 6 [TOPIC] phapluat [COMMENT] quỷ đội lốt,1
[TITLE] án_mạng ghen đàn_ông [TOPIC] phapluat [COMMENT] giúp ý_thức luyện_tập thể_thao tích_cực chạy hoàn_cảnh chạy thượng_sách chạy sống đừng có_học võ_vẽ giúp_ích,0
[TITLE] 10 gia_đình giàu châu_á [TOPIC] kinhdoanh [COMMENT] ds 10 hk góp mặt 4 phục_tài kinh_doanh hk,0
[TITLE] căng lưới 10 m ngăn_voọc cắn [TOPIC] thoisu [COMMENT] vooc loài leo_trèo lưới 10 m ngăn trèo,0
[TITLE] bài_toán thầy_giáo việt báo [TOPIC] giaoduc [COMMENT] đoán thầy so_sánh diện_tích trái_đất,0
